Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End
VisibilityGraph	8	381.49512	381.49512	1.0	38312.2	839.9731212632335	(362,1)	(72,248)
VisibilityGraph	8	201.06549	201.06549	1.0	37697.3	458.2541871056177	(174,185)	(366,126)
VisibilityGraph	8	167.4157	167.4157	1.0	37497.8	393.52221453580455	(24,456)	(96,305)
VisibilityGraph	8	177.4016	177.4016	1.0	37427.6	462.7428371496321	(328,307)	(270,140)
VisibilityGraph	8	68.74362	68.74362	1.0	37218.4	200.45625735021792	(143,482)	(209,500)
VisibilityGraph	8	121.32909	121.32909	1.0	37580.5	660.7114431513285	(190,274)	(236,386)
VisibilityGraph	8	262.34402	262.34402	1.0	39393.0	2958.2903846647646	(178,135)	(0,327)
VisibilityGraph	8	209.00868	209.00868	1.0	37279.2	496.14935027472535	(281,368)	(424,216)
VisibilityGraph	8	145.32326	145.32326	1.0	37118.6	236.3063924469261	(230,151)	(347,237)
VisibilityGraph	8	95.39449	95.39449	1.0	37171.7	165.9679018506252	(278,161)	(338,235)
VisibilityGraph	8	396.29898	396.29898	1.0	37201.3	156.33727784525024	(54,117)	(193,488)
VisibilityGraph	8	149.0516	149.0516	1.0	37122.1	257.6972599348843	(138,17)	(167,163)
VisibilityGraph	8	245.43925	245.43925	1.0	37340.0	482.64686883890585	(262,311)	(496,384)
VisibilityGraph	8	292.93622	292.93622	1.0	37321.4	447.6931488815896	(458,80)	(170,28)
VisibilityGraph	8	284.62167	284.62167	1.0	37012.4	191.16845392934314	(351,159)	(360,443)
VisibilityGraph	8	409.40915	409.40915	1.0	37168.8	295.60890078250475	(443,61)	(242,416)
VisibilityGraph	8	343.4057	343.4057	1.0	37205.8	169.51945152186784	(409,71)	(70,125)
VisibilityGraph	8	185.50073	185.50073	1.0	37159.2	250.53622492616574	(6,366)	(184,417)
VisibilityGraph	8	430.7353	430.7353	1.0	37182.7	213.26564030238825	(139,430)	(256,16)
VisibilityGraph	8	75.99766	75.99766	1.0	37050.1	270.8613626520686	(389,357)	(334,409)
VisibilityGraph	8	104.30176	104.30176	1.0	37064.0	343.15982670858585	(184,290)	(219,192)
VisibilityGraph	8	277.58838	277.58838	1.0	37146.7	121.0886268640035	(104,8)	(104,285)
VisibilityGraph	8	322.2361	322.2361	1.0	37137.4	224.75033061392529	(397,90)	(106,227)
VisibilityGraph	8	472.2078	472.2078	1.0	38329.1	2628.7030790444833	(468,274)	(44,67)
VisibilityGraph	8	104.298454	104.298454	1.0	37117.2	173.99220927714896	(471,171)	(402,249)
VisibilityGraph	8	278.0258	278.0258	1.0	37206.3	112.27451476753394	(470,245)	(264,431)
VisibilityGraph	8	262.72647	262.72647	1.0	37097.0	89.33706459869336	(129,70)	(375,162)
VisibilityGraph	8	123.384544	123.384544	1.0	37093.6	184.81414087357118	(260,459)	(237,338)
VisibilityGraph	8	163.14139	163.14139	1.0	37099.9	185.70493321982548	(421,326)	(341,468)
VisibilityGraph	8	206.53613	206.53613	1.0	37125.1	203.90436211333613	(7,166)	(194,80)
VisibilityGraph	8	208.0033	208.0033	1.0	37014.2	203.4457612682852	(408,48)	(390,255)
