Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End	Trails
BFS-PS	8	520.93665	381.49512	1.3655133247375488	22.0	11.294049564064943	(362,1)	(72,248)	1
BFS-PS	8	245.34245	201.06549	1.2202116250991821	13.9	4.909175083453429	(174,185)	(366,126)	1
BFS-PS	8	217.76413	167.4157	1.300739049911499	6.2	8.011103405759894	(24,456)	(96,305)	1
BFS-PS	8	214.07144	177.4016	1.2067053318023682	12.5	6.60387091871965	(328,307)	(270,140)	1
BFS-PS	8	81.17115	68.74362	1.1807807683944702	6.4	8.262364471909155	(143,482)	(209,500)	1
BFS-PS	8	152.22832	121.32909	1.254672884941101	11.0	7.60116950066092	(190,274)	(236,386)	1
BFS-PS	8	361.73462	262.34402	1.3788559436798096	29.6	5.146735750831671	(178,135)	(0,327)	1
BFS-PS	8	277.45856	209.00868	1.3274977207183838	20.2	7.927448797970535	(281,368)	(424,216)	1
BFS-PS	8	195.98352	145.32326	1.3486039638519287	9.3	8.014570065407957	(230,151)	(347,237)	1
BFS-PS	8	132.01561	95.39449	1.3838913440704346	4.7	7.572611467944492	(278,161)	(338,235)	1
BFS-PS	8	496.25546	396.29898	1.2522249221801758	21.8	8.148619514985347	(54,117)	(193,488)	1
BFS-PS	8	168.17474	149.0516	1.1282987594604492	3.1	6.539622822966678	(138,17)	(167,163)	1
BFS-PS	8	303.19528	245.43925	1.2353169918060303	20.4	7.560129334578583	(262,311)	(496,384)	1
BFS-PS	8	331.979	292.93622	1.133280873298645	10.9	7.5343657109717395	(458,80)	(170,28)	1
BFS-PS	8	287.03677	284.62167	1.0084853172302246	15.6	0.5163977794943321	(351,159)	(360,443)	1
BFS-PS	8	532.64026	409.40915	1.3009974956512451	24.9	8.102811583367574	(443,61)	(242,416)	1
BFS-PS	8	388.15576	343.4057	1.1303125619888306	20.2	7.465476095557026	(409,71)	(70,125)	1
BFS-PS	8	228.41422	185.50073	1.231338620185852	7.8	8.230026326405849	(6,366)	(184,417)	1
BFS-PS	8	501.91666	430.7353	1.1652554273605347	25.0	7.972173828734266	(139,430)	(256,16)	1
BFS-PS	8	106.0263	75.99766	1.3951258659362793	3.0	6.324555320336759	(389,357)	(334,409)	1
BFS-PS	8	129.15161	104.30176	1.238249659538269	6.2	8.011103405759894	(184,290)	(219,192)	1
BFS-PS	8	279.88483	277.58838	1.0082728862762451	9.3	8.014570065407957	(104,8)	(104,285)	1
BFS-PS	8	415.72052	322.2361	1.2901115417480469	23.5	8.127456893491072	(397,90)	(106,227)	1
BFS-PS	8	611.6005	472.2078	1.2951936721801758	31.0	0.0	(468,274)	(44,67)	1
BFS-PS	8	146.02939	104.298454	1.4001107215881348	4.6	7.411702458499891	(471,171)	(402,249)	1
BFS-PS	8	383.35864	278.0258	1.3788599967956543	17.3	4.831608887776869	(470,245)	(264,431)	1
BFS-PS	8	329.69745	262.72647	1.2549076080322266	15.6	0.5163977794943321	(129,70)	(375,162)	1
BFS-PS	8	133.56561	123.384544	1.0825148820877075	4.7	7.572611467944492	(260,459)	(237,338)	1
BFS-PS	8	216.13217	163.14139	1.324815034866333	12.5	6.60387091871965	(421,326)	(341,468)	1
BFS-PS	8	265.64386	206.53613	1.28618586063385	7.9	8.332666639997866	(7,166)	(194,80)	1
BFS-PS	8	221.4418	208.0033	1.0646071434020996	9.4	8.099382692526634	(408,48)	(390,255)	1
BFS-PS	8	355.2152	258.70438	1.3730545043945312	18.6	6.552353266829658	(373,253)	(229,467)	1
