Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End	Trails
BFS-PS	7	304.82327	290.69052	1.0486178398132324	20.4	7.560129334578583	(210,217)	(244,471)	1
BFS-PS	7	244.9709	225.38187	1.0869148969650269	11.1	7.665941994736634	(423,181)	(303,144)	1
BFS-PS	7	158.4248	140.46623	1.1278496980667114	6.3	8.138386408455508	(346,452)	(448,500)	1
BFS-PS	7	408.51724	365.89145	1.1164984703063965	26.5	7.487025815072068	(172,165)	(455,184)	1
BFS-PS	7	313.87082	289.64417	1.083642840385437	9.4	8.099382692526634	(418,19)	(249,172)	1
BFS-PS	7	105.00568	92.30689	1.1375713348388672	6.3	8.138386408455508	(123,431)	(174,417)	1
BFS-PS	7	518.10345	466.3383	1.1110035181045532	31.0	0.0	(92,230)	(457,89)	1
BFS-PS	7	341.3292	317.43515	1.0752722024917603	26.4	7.876829593462366	(316,365)	(158,148)	1
BFS-PS	7	448.65265	405.94785	1.105197787284851	18.9	6.384877968032493	(411,477)	(89,366)	1
BFS-PS	7	662.21173	604.4343	1.0955891609191895	31.0	0.0	(474,98)	(125,419)	1
BFS-PS	7	322.67865	288.3532	1.119039535522461	10.9	7.5343657109717395	(116,463)	(361,383)	1
BFS-PS	7	580.53754	527.75977	1.1000033617019653	29.7	8.957306142659933	(479,329)	(59,332)	1
BFS-PS	7	557.13257	513.34595	1.0852965116500854	20.2	7.699927849589821	(463,305)	(109,360)	1
BFS-PS	7	449.2331	416.01135	1.0798578262329102	15.4	0.5163977794942831	(457,76)	(427,379)	1
BFS-PS	7	446.59656	419.0016	1.0658588409423828	18.8	6.713171133426185	(259,15)	(435,258)	1
BFS-PS	7	281.2289	258.97018	1.0859509706497192	20.2	7.465476095557026	(283,262)	(455,403)	1
BFS-PS	7	347.6718	309.641	1.1228222846984863	20.4	7.3212020870892545	(176,320)	(411,378)	1
BFS-PS	7	426.47617	400.89752	1.0638034343719482	15.6	0.5163977794943321	(318,62)	(362,382)	1
BFS-PS	7	74.21102	67.8991	1.092960238456726	3.2	6.7461923416925424	(229,448)	(270,484)	1
BFS-PS	7	206.023	184.56757	1.1162470579147339	9.4	8.099382692526634	(304,242)	(184,143)	1
BFS-PS	7	451.58444	421.8172	1.0705690383911133	20.1	7.534365710971735	(467,161)	(497,443)	1
BFS-PS	7	242.7703	223.33078	1.0870436429977417	3.1	6.539622822966678	(460,233)	(330,236)	1
BFS-PS	7	243.01262	225.83704	1.0760530233383179	7.8	8.230026326405849	(420,418)	(383,229)	1
BFS-PS	7	169.41914	146.74664	1.154500961303711	4.6	7.411702458499891	(459,79)	(371,139)	1
BFS-PS	7	480.4448	439.39432	1.0934251546859741	23.4	8.235424835563876	(464,156)	(439,490)	1
BFS-PS	7	477.04416	438.60663	1.0876355171203613	26.4	7.647802879839997	(222,67)	(1,342)	1
BFS-PS	7	429.4272	400.48013	1.0722808837890625	18.7	6.498717822257966	(159,495)	(240,171)	1
BFS-PS	7	107.77974	93.543495	1.1521885395050049	3.0	6.324555320336759	(72,167)	(131,225)	1
BFS-PS	7	257.38666	235.73419	1.0918512344360352	14.1	4.976611966656299	(294,273)	(385,451)	1
