Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End	Trails
VisibilityGraph_REUSE	7	290.69052	290.69052	1.0	132.7	16.93156158710063	(210,217)	(244,471)	1
VisibilityGraph_REUSE	7	225.38187	225.38187	1.0	62.3	7.3189252398605165	(423,181)	(303,144)	1
VisibilityGraph_REUSE	7	140.46623	140.46623	1.0	57.5	7.487025815072068	(346,452)	(448,500)	1
VisibilityGraph_REUSE	7	365.89145	365.89145	1.0	145.1	12.922418074373367	(172,165)	(455,184)	1
VisibilityGraph_REUSE	7	289.64417	289.64417	1.0	67.1	7.5343657109718025	(418,19)	(249,172)	1
VisibilityGraph_REUSE	7	92.30689	92.30689	1.0	32.8	5.0066622281382935	(123,431)	(174,417)	1
VisibilityGraph_REUSE	7	466.3383	466.3383	1.0	158.9	17.835358140502706	(92,230)	(457,89)	1
VisibilityGraph_REUSE	7	317.43515	317.43515	1.0	134.1	13.23673340031874	(316,365)	(158,148)	1
VisibilityGraph_REUSE	7	405.94785	405.94785	1.0	102.7	13.157591809378388	(411,477)	(89,366)	1
VisibilityGraph_REUSE	7	604.4343	604.4343	1.0	140.6	14.736198816369104	(474,98)	(125,419)	1
VisibilityGraph_REUSE	7	288.3532	288.3532	1.0	77.9	7.309810759064333	(116,463)	(361,383)	1
VisibilityGraph_REUSE	7	527.75977	527.75977	1.0	137.4	30.008147041909886	(479,329)	(59,332)	1
VisibilityGraph_REUSE	7	513.34595	513.34595	1.0	117.0	15.0996688705415	(463,305)	(109,360)	1
VisibilityGraph_REUSE	7	416.01135	416.01135	1.0	99.8	10.942272768183672	(457,76)	(427,379)	1
VisibilityGraph_REUSE	7	419.0016	419.0016	1.0	112.1	6.539622822966876	(259,15)	(435,258)	1
VisibilityGraph_REUSE	7	258.97018	258.97018	1.0	101.3	11.245245909074475	(283,262)	(455,403)	1
VisibilityGraph_REUSE	7	309.641	309.641	1.0	117.0	11.00504934614612	(176,320)	(411,378)	1
VisibilityGraph_REUSE	7	400.89752	400.89752	1.0	131.0	19.504985117770392	(318,62)	(362,382)	1
VisibilityGraph_REUSE	7	67.8991	67.8991	1.0	50.0	6.599663291074443	(229,448)	(270,484)	1
VisibilityGraph_REUSE	7	184.56757	184.56757	1.0	62.5	7.321960878829599	(304,242)	(184,143)	1
VisibilityGraph_REUSE	7	421.8172	421.8172	1.0	115.5	10.977249200050075	(467,161)	(497,443)	1
VisibilityGraph_REUSE	7	223.33078	223.33078	1.0	35.7	7.5726114679444825	(460,233)	(330,236)	1
