Algorithm	Maze	ComputedPath	OptimalPath	PathLengthRatio	Time	TimeSD	Start	End	Trails
AStar-PS	4	32.362347	32.110413	1.0078458786010742	1.54	0.051639777949433203	(51,20)	(64,44)	10
AStar-PS	4	99.84151	99.40131	1.0044283866882324	4.83	0.4831608887776869	(38,12)	(57,70)	10
AStar-PS	4	35.255898	35.255898	1.0	1.25	0.9846036991827953	(73,12)	(66,35)	10
AStar-PS	4	97.7444	97.69808	1.0004740953445435	2.81	0.6657493689236371	(13,10)	(87,8)	10
AStar-PS	4	15.008676	15.008676	1.0	0.0	0.0	(83,72)	(93,81)	10
AStar-PS	4	110.32226	109.12194	1.0109997987747192	4.67	0.04830458915398205	(92,25)	(1,21)	10
AStar-PS	4	37.69577	37.335262	1.0096559524536133	0.9400000000000001	0.8099382692526633	(39,61)	(71,60)	10
AStar-PS	4	59.89585	59.028854	1.0146876573562622	1.41	0.49766119666563013	(69,68)	(14,69)	10
AStar-PS	4	73.83361	73.41203	1.0057426691055298	2.2	0.8192137151629666	(73,84)	(48,33)	10
AStar-PS	4	45.440887	45.440887	1.0	1.4	0.49441323247304453	(35,45)	(10,14)	10
AStar-PS	4	8.927446	8.927446	1.0	1.56	0.05163977794942938	(93,2)	(90,10)	10
AStar-PS	4	72.0273	71.56989	1.0063910484313965	2.04	0.7560129334578584	(60,54)	(40,10)	10
AStar-PS	4	99.04948	98.13567	1.0093116760253906	4.68	0.042163702135641606	(5,74)	(64,31)	10
AStar-PS	4	124.24794	123.89395	1.0028572082519531	5.93	0.6766748767974862	(5,6)	(86,67)	10
AStar-PS	4	36.04018	35.894478	1.0040591955184937	1.1	0.7601169500660919	(61,72)	(31,84)	10
AStar-PS	4	54.72086	54.72086	1.0	1.09	0.7534365710971738	(95,38)	(57,19)	10
AStar-PS	4	109.224174	108.544365	1.006263017654419	4.35	0.6603870918719683	(86,62)	(8,32)	10
AStar-PS	4	86.585175	86.267105	1.0036870241165161	4.220000000000001	0.7509993342207388	(11,39)	(62,76)	10
AStar-PS	4	147.24571	146.5352	1.0048487186431885	7.5	0.6324555320336779	(9,90)	(80,2)	10
AStar-PS	4	114.06376	113.393524	1.0059107542037964	5.3	0.7972173828734284	(94,81)	(49,8)	10
AStar-PS	4	62.811394	62.623436	1.0030014514923096	2.02	0.7927448797970532	(44,66)	(25,40)	10
AStar-PS	4	41.014416	41.014416	1.0	1.24	0.6552353266829661	(44,46)	(10,29)	10
AStar-PS	4	16.246212	16.246212	1.0	1.56	0.05163977794942938	(58,57)	(48,61)	10
AStar-PS	4	74.75612	74.23054	1.0070804357528687	2.18	0.836394378003317	(77,29)	(89,60)	10
AStar-PS	4	51.5963	51.262268	1.0065160989761353	1.7399999999999998	0.4788875998951463	(48,41)	(71,49)	10
AStar-PS	4	49.033775	49.033775	1.0	0.93	0.801457006540796	(39,98)	(23,63)	10
AStar-PS	4	64.818214	63.960594	1.0134085416793823	2.02	0.7465476095557022	(69,31)	(18,30)	10
AStar-PS	4	51.724022	51.677704	1.0008963346481323	1.55	0.05270462766947149	(12,11)	(34,7)	10
AStar-PS	4	51.396126	51.396126	1.0	1.55	0.05270462766947149	(33,17)	(37,59)	10
AStar-PS	4	44.090668	43.683136	1.0093293190002441	1.09	0.7534365710971738	(27,66)	(63,57)	10
AStar-PS	4	50.951252	50.916637	1.000679850578308	2.3600000000000003	0.8235424835563862	(43,50)	(12,47)	10
AStar-PS	4	113.53948	113.37902	1.0014152526855469	4.54	0.5059644256269409	(41,3)	(20,86)	10
AStar-PS	4	46.95081	46.564903	1.0082875490188599	1.4	0.49441323247304453	(94,27)	(61,0)	10
AStar-PS	4	5.0	5.0	1.0	1.24	0.6552353266829661	(5,31)	(6,35)	10
AStar-PS	4	85.26835	84.71754	1.0065017938613892	2.81	0.6384877968032472	(21,21)	(0,87)	10
AStar-PS	4	112.642685	112.05936	1.005205512046814	4.68	0.042163702135641606	(92,23)	(48,79)	10
AStar-PS	4	53.475742	52.83283	1.0121688842773438	1.58	0.042163702135571385	(81,74)	(43,100)	10
AStar-PS	4	35.94401	35.720867	1.0062469244003296	1.24	0.6552353266829661	(4,82)	(32,68)	10
AStar-PS	4	46.700966	46.328346	1.0080430507659912	1.09	0.7534365710971738	(86,49)	(66,78)	10
AStar-PS	4	100.71452	99.27693	1.0144805908203125	3.15	0.05270462766947898	(94,70)	(92,19)	10
AStar-PS	4	63.73064	62.76489	1.0153868198394775	1.4	0.49441323247304453	(91,60)	(70,40)	10
AStar-PS	4	101.45371	100.68566	1.0076282024383545	3.7399999999999998	0.8262364471909178	(33,84)	(79,13)	10
AStar-PS	4	103.28892	102.65793	1.0061465501785278	4.51	0.4976611966656313	(92,87)	(26,41)	10
AStar-PS	4	89.26205	88.79776	1.0052286386489868	3.13	0.04830458915396571	(56,3)	(88,35)	10
AStar-PS	4	137.34483	135.59958	1.0128706693649292	6.09	0.4909175083453476	(85,37)	(6,84)	10
AStar-PS	4	74.53285	74.31968	1.0028682947158813	2.19	0.8061568636989264	(75,35)	(28,17)	10
AStar-PS	4	88.09048	86.57468	1.017508625984192	2.65	0.7487025815072079	(77,11)	(78,80)	10
AStar-PS	4	51.4064	51.037857	1.007220983505249	1.56	0.05163977794942938	(67,39)	(73,72)	10
AStar-PS	4	28.131872	28.131872	1.0	1.25	0.660387091871965	(34,82)	(30,63)	10
AStar-PS	4	66.12697	65.805664	1.004882574081421	1.7100000000000002	0.49091750834534276	(5,59)	(29,26)	10
AStar-PS	4	75.92786	75.39785	1.007029414176941	2.81	0.6384877968032472	(47,39)	(55,90)	10
AStar-PS	4	30.824242	30.824242	1.0	1.1	0.7601169500660919	(38,74)	(12,64)	10
AStar-PS	4	116.71251	115.69135	1.0088266134262085	3.2700000000000005	0.4691600058733772	(20,47)	(97,4)	10
AStar-PS	4	94.78893	93.91033	1.0093557834625244	4.05	0.8181958472422388	(0,20)	(43,71)	10
AStar-PS	4	95.47861	93.73765	1.0185726881027222	3.2600000000000002	0.5059644256269393	(86,75)	(93,11)	10
AStar-PS	4	95.3847	94.25028	1.0120362043380737	3.12	0.04216370213556671	(72,84)	(84,22)	10
AStar-PS	4	93.85577	92.13628	1.018662452697754	4.24	0.7411702458499883	(9,68)	(79,66)	10
AStar-PS	4	88.200615	87.892914	1.0035008192062378	4.99	0.9882082551545267	(22,28)	(84,34)	10
AStar-PS	4	106.705574	105.93464	1.007277488708496	5.46	0.8235424835563862	(48,80)	(74,9)	10
AStar-PS	4	121.39701	120.678314	1.005955457687378	7.4799999999999995	0.674619234169264	(44,2)	(60,60)	10
AStar-PS	4	86.11591	85.015396	1.0129449367523193	4.7	NaN	(24,91)	(27,25)	10
